,MovieTitle,MovieDate,MovieRunTime,MovieGenre,MovieRating,MovieScore,MovieDescription,MovieDirector,MovieStars,MovieVotes,MovieGross
400,Roald Dahl's Matilda the Musical,2022,117,"['Comedy', ' Drama', ' Family']",7.1,,"An adaptation of the Tony and Olivier award-winning musical. Matilda tells the story of an extraordinary girl who, armed with a sharp mind and a vivid imagination, dares to take a stand to change her story with miraculous results.",Matthew Warchus,"['Alisha Weir', 'Emma Thompson', 'Lashana Lynch', 'Stephen Graham']","20,621",
401,Prisoners,2013,153,"['Crime', ' Drama', ' Mystery']",8.1,,"When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts.",Denis Villeneuve,"['Hugh Jackman', 'Jake Gyllenhaal', 'Viola Davis', 'Melissa Leo']","731,752",$61.00M
402,History of the World: Part I,1981,92,"['Comedy', ' History', ' Musical']",6.8,47,Mel Brooks brings his one-of-a-kind comic touch to the history of mankind covering events from the Old Testament to the French Revolution in a series of episodic comedy vignettes.,Mel Brooks,"['Mel Brooks', 'Gregory Hines', 'Dom DeLuise', 'Madeline Kahn']","51,347",$31.67M
403,Star Trek: Deep Space Nine,1993–1999,45,"['Action', ' Adventure', ' Drama']",8.1,,"In the vicinity of the liberated planet of Bajor, the Federation space station Deep Space Nine guards the opening of a stable wormhole to the far side of the galaxy.",,"['Stars:Avery Brooks', 'Rene Auberjonois', 'Cirroc Lofton', 'Alexander Siddig']","65,026",
404,Skinamarink,2022,100,['Horror'],5.1,,"Two children wake up in the middle of the night to find their father is missing, and all the windows and doors in their home have vanished.",Kyle Edward Ball,"['Lucas Paul', 'Dali Rose Tetreault', 'Ross Paul', 'Jaime Hill']","7,892",
405,Promising Young Woman,2020,113,"['Crime', ' Drama', ' Mystery']",7.5,,"A young woman, traumatized by a tragic event in her past, seeks out vengeance against those who crossed her path.",Emerald Fennell,"['Carey Mulligan', 'Bo Burnham', 'Alison Brie', 'Clancy Brown']","180,759",
406,Scandal,2012–2018,43,"['Drama', ' Thriller']",7.7,,A former White House Communications Director starts her own crisis management firm only to realize her clients are not the only ones with secrets.,,"['Stars:Kerry Washington', 'Darby Stanchfield', 'Katie Lowes', 'Guillermo Diaz']","75,403",
407,Black Swan,2010,108,"['Drama', ' Thriller']",8.0,,"A committed dancer struggles to maintain her sanity after winning the lead role in a production of Tchaikovsky's ""Swan Lake"".",Darren Aronofsky,"['Natalie Portman', 'Mila Kunis', 'Vincent Cassel', 'Winona Ryder']","779,141",$106.95M
408,The Goldbergs,2013–2023,22,['Comedy'],8.0,,"This ABC show takes place in Jenkintown, Pennsylvania in the 1980s and follows the lives of a family named The Goldbergs.",,"['Stars:Wendi McLendon-Covey', 'Sean Giambrone', 'Troy Gentile', 'Hayley Orrantia']","38,418",
409,Chicago Med,2015– ,43,['Drama'],7.6,,"The city's most highly skilled medical team saves lives, while navigating their unique interpersonal relationships.",,"['Stars:Nick Gehlfuss', 'Marlyne Barrett', 'S. Epatha Merkerson', 'Oliver Platt']","26,617",
410,For All Mankind,2019– ,60,"['Drama', ' Sci-Fi']",8.0,,"In an alternative version of 1969, the Soviet Union beats the United States to the Moon, and the space race continues on for decades with still grander challenges and goals.",,"['Stars:Joel Kinnaman', 'Michael Dorman', 'Wrenn Schmidt', 'Shantel VanSanten']","46,723",
411,Titans,I) (2018–2023,45,"['Action', ' Adventure', ' Crime']",7.6,,A team of young superheroes combat evil and other perils.,,"['Stars:Brenton Thwaites', 'Anna Diop', 'Ryan Potter', 'Teagan Croft']","103,942",
412,Joker,I) (2019,122,"['Crime', ' Drama', ' Thriller']",8.4,59,"The rise of Arthur Fleck, from aspiring stand-up comedian and pariah to Gotham's clown prince and leader of the revolution.",Todd Phillips,"['Joaquin Phoenix', 'Robert De Niro', 'Zazie Beetz', 'Frances Conroy']","1,319,735",$335.45M
413,Hawaii Five-0,2010–2020,42,"['Action', ' Crime', ' Drama']",7.4,,"When Steve McGarrett returns home to Oahu to find his father's killer, the Governor offers him the chance to run his own task force: Five-0.",,"[""Stars:Alex O'Loughlin"", 'Scott Caan', 'Taylor Wily', 'Daniel Dae Kim']","75,017",
414,BoJack Horseman,2014–2020,25,"['Animation', ' Comedy', ' Drama']",8.8,,"BoJack Horseman was the star of the hit television show ""Horsin' Around"" in the '80s and '90s, but now he's washed up, living in Hollywood, complaining about everything, and wearing colorful sweaters.",,"['Stars:Will Arnett', 'Amy Sedaris', 'Alison Brie', 'Aaron Paul']","164,151",
415,The Girl Who Escaped: The Kara Robinson Story,2023,88,"['Crime', ' Drama', ' Thriller']",6.1,,It follows Kara Robinson as she survives an abduction and ultimately brings down a serial killer.,Simone Stock,"['Katie Douglas', 'Cara Buono', 'Kristian Bruun', 'Erik Athavale']",849,
416,Star Trek: Voyager,1995–2001,44,"['Action', ' Adventure', ' Sci-Fi']",7.8,,"Pulled to the far side of the galaxy, where the Federation is seventy-five years away at maximum warp speed, a Starfleet ship must cooperate with Maquis rebels to find a way home.",,"['Stars:Kate Mulgrew', 'Robert Beltran', 'Roxann Dawson', 'Robert Duncan McNeill']","71,261",
417,The Goonies,1985,114,"['Adventure', ' Comedy', ' Family']",7.7,,A group of young misfits called The Goonies discover an ancient map and set out on an adventure to find a legendary pirate's long-lost treasure.,Richard Donner,"['Sean Astin', 'Josh Brolin', 'Jeff Cohen', 'Corey Feldman']","280,144",$61.50M
418,Banshee,2013–2016,60,"['Action', ' Crime', ' Drama']",8.4,,"An ex-con assumes the identity of a murdered sheriff in the small town of Banshee, Pennsylvania, where he has some unfinished business.",,"['Stars:Antony Starr', 'Ivana Milicevic', 'Ulrich Thomsen', 'Frankie Faison']","107,993",
419,The Godfather Part II,1974,202,"['Crime', ' Drama']",9.0,,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",Francis Ford Coppola,"['Al Pacino', 'Robert De Niro', 'Robert Duvall', 'Diane Keaton']","1,285,177",$57.30M
420,Bad Sisters,2022– ,53,"['Comedy', ' Drama', ' Thriller']",8.3,,The Garvey sisters are bound together by their parents' deaths and a promise to always protect one another.,,"['Stars:Sharon Horgan', 'Claes Bang', 'Eve Hewson', 'Sarah Greene']","21,918",
421,This Is Where I Leave You,2014,103,"['Comedy', ' Drama']",6.6,44,"After their father passes away, four grown siblings are forced to return to their childhood home and live under the same roof for a week, along with their over-sharing mother and an assortment of spouses, exes, and might-have-beens.",Shawn Levy,"['Jason Bateman', 'Tina Fey', 'Jane Fonda', 'Adam Driver']","82,472",$34.29M
422,The Winchesters,2022– ,42,"['Action', ' Adventure', ' Drama']",6.3,,An epic untold love story of John and Mary of how they not only saved their love but also the entire world.,,"['Stars:Meg Donnelly', 'Drake Rodger', 'Nida Khurshid', 'Jojo Fleites']","6,412",
423,What We Do in the Shadows,2019– ,30,"['Comedy', ' Fantasy', ' Horror']",8.6,,A look into the nightly lives of four vampires who have lived together on Staten Island for over a century.,,"['Stars:Kayvan Novak', 'Matt Berry', 'Natasia Demetriou', 'Harvey Guillén']","82,023",
424,Three Pines,2022– ,54,"['Crime', ' Drama', ' Mystery']",7.3,,"Following Chief Inspector Armand Gamache as he investigates cases beneath the idyllic surface of the Quebec village, Three Pines, finding long-buried secrets and facing a few ghosts of his own.",,"['Stars:Alfred Molina', 'Rossif Sutherland', 'Elle-Máijá Tailfeathers', 'Sarah Booth']","9,856",
425,FBI: Most Wanted,2020– ,45,"['Action', ' Crime', ' Drama']",6.9,,It follows the division of the FBI tasked with tracking and capturing the notorious criminals on the FBI's Most Wanted list.,,"['Stars:Roxy Sternberg', 'Keisha Castle-Hughes', 'Julian McMahon', 'YaYa Gosselin']","8,928",
426,Boardwalk Empire,2010–2014,55,"['Crime', ' Drama']",8.6,,An Atlantic City politician plays both sides of the law by conspiring with gangsters during the Prohibition era.,,"['Stars:Steve Buscemi', 'Kelly Macdonald', 'Michael Shannon', 'Shea Whigham']","192,725",
427,Star Wars: The Clone Wars,2008–2020,23,"['Animation', ' Action', ' Adventure']",8.4,,Jedi Knights lead the Grand Army of the Republic against the droid army of the Separatists.,,"['Stars:Tom Kane', 'Dee Bradley Baker', 'Matt Lanter', 'James Arnold Taylor']","101,988",
428,Hereditary,2018,127,"['Drama', ' Horror', ' Mystery']",7.3,,A grieving family is haunted by tragic and disturbing occurrences.,Ari Aster,"['Toni Collette', 'Milly Shapiro', 'Gabriel Byrne', 'Alex Wolff']","331,248",$44.07M
429,Person of Interest,2011–2016,43,"['Action', ' Crime', ' Drama']",8.5,,"An ex-CIA agent and a wealthy programmer save lives via a surveillance AI that sends them the identities of civilians involved in impending crimes. However, the details of the crimes, including the civilians' roles, are left a mystery.",,"['Stars:Jim Caviezel', 'Taraji P. Henson', 'Kevin Chapman', 'Michael Emerson']","179,562",
430,Harry Potter and the Goblet of Fire,2005,157,"['Adventure', ' Family', ' Fantasy']",7.7,,"Harry Potter finds himself competing in a hazardous tournament between rival schools of magic, but he is distracted by recurring nightmares.",Mike Newell,"['Daniel Radcliffe', 'Emma Watson', 'Rupert Grint', 'Eric Sykes']","638,843",$290.01M
431,Homeland,2011–2020,55,"['Crime', ' Drama', ' Mystery']",8.3,,A bipolar CIA operative becomes convinced a prisoner of war has been turned by al-Qaeda and is planning to carry out a terrorist attack on American soil.,,"['Stars:Claire Danes', 'Mandy Patinkin', 'Damian Lewis', 'Rupert Friend']","346,380",
432,Mr. Robot,2015–2019,49,"['Crime', ' Drama', ' Thriller']",8.5,,"Elliot, a brilliant but highly unstable young cyber-security engineer and vigilante hacker, becomes a key figure in a complex game of global dominance when he and his shadowy allies try to take down the corrupt corporation he works for.",,"['Stars:Rami Malek', 'Christian Slater', 'Carly Chaikin', 'Martin Wallström']","393,955",
433,Star Trek,1966–1969,50,"['Action', ' Adventure', ' Sci-Fi']",8.4,,"In the 23rd Century, Captain James T. Kirk and the crew of the U.S.S. Enterprise explore the galaxy and defend the United Federation of Planets.",,"['Stars:William Shatner', 'Leonard Nimoy', 'DeForest Kelley', 'Nichelle Nichols']","86,205",
434,The Silence of the Lambs,1991,118,"['Crime', ' Drama', ' Thriller']",8.6,,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",Jonathan Demme,"['Jodie Foster', 'Anthony Hopkins', 'Lawrence A. Bonney', 'Kasi Lemmons']","1,449,148",$130.74M
435,Dead to Me,2019–2022,30,"['Comedy', ' Crime', ' Drama']",8.0,,A series about a powerful friendship that blossoms between a tightly wound widow and a free spirit with a shocking secret.,,"['Stars:Christina Applegate', 'Linda Cardellini', 'Sam McCarthy', 'Luke Roessler']","91,315",
436,Seven,1995,127,"['Crime', ' Drama', ' Mystery']",8.6,,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",David Fincher,"['Morgan Freeman', 'Brad Pitt', 'Kevin Spacey', 'Andrew Kevin Walker']","1,673,790",$100.13M
